start_osm_way_id,end_osm_way_id,t_type
6062650,130808338,8
6062650,6062650,0
50519392,6051630,0
50519392,50519365,0
50519365,50519365,0
50519365,6060600,7
6058672,6053860,3
50519365,50519365,0
6060600,29964831,0
50519365,50519365,0
50519365,229105896,6
50519365,50519365,0
50519365,6061169,7
229105896,229105896,0
50519365,50519365,0
50519365,6057902,7
6061169,130927006,7
6061169,6061169,0
50519365,131240439,3
50519365,50519365,0
6057902,130927006,7
6057902,6057902,0
131240439,6051389,3
131240439,131240439,0
50519365,50519365,0
50519365,6672162,3
50519365,50519365,0
50519365,6061232,7
6672162,6672162,0
6672162,6057632,7
50519365,50519365,0
50519365,6055929,7
6061232,6061232,0
50519365,6063014,4
50519365,50519365,0
6055929,130714932,7
50519365,29964834,3
6061911,130714932,7
131520118,29961219,3
131520118,131520118,0
294891243,131052414,0
294891243,29961219,3
6053744,131520118,7
6053854,131052494,7
193002132,6059954,1
131052494,50507959,3
367694950,367694954,7
367694950,367694950,0
50795351,367694950,3
6062650,50795344,0
6062650,6057310,4
6053860,6053860,0
6053860,229105897,1
29964831,29964831,0
6053861,29964829,7
6058679,29961684,3
6058679,6058679,0
6053861,6053861,0
29961210,29961210,0
29961210,29961684,3
29964831,29964831,0
29964831,234706405,2
29964831,315389630,8
301594129,229105896,4
130927006,29964831,3
130927006,301594129,7
130927006,130927006,0
6061169,234706402,3
6061169,6061169,0
130927006,130927006,0
130927006,6061169,3
6057902,234706402,3
6057902,6057902,0
130927006,130927006,0
130927006,6057902,3
131240439,131240439,0
131240439,50519365,7
130927006,130927006,0
130927006,131240439,7
6055449,6055449,0
6055449,6058218,7
130927007,130927006,0
130927007,6055449,7
130927085,234706402,3
130927085,130927085,0
130714932,130927007,0
130714932,130927085,3
130714932,130714932,0
6057996,6054013,3
6057996,6057996,0
130714932,130714932,0
130714932,6057996,3
50519360,50519360,0
130714932,130714932,0
130714932,50519360,4
6059017,6053651,3
6059017,6059017,0
6053914,47916244,7
6053914,120478694,0
47916244,6060937,7
120478694,45838764,3
45838764,45838764,0
45838763,70948802,3
45838763,70948803,0
347003328,130802371,3
347003327,131076063,7
347003327,347003327,0
131076063,130802371,3
347003327,347003327,0
347003327,74100353,3
354079209,175873836,4
354079209,74100353,0
347003327,347003327,0
347003327,298848145,3
347003327,347003327,0
347003327,6062732,7
298848145,298814315,1
298848145,130285121,0
347003229,347003229,0
203119342,298815729,3
203119342,126303361,0
298815729,352412039,0
126303361,126303361,0
126303361,108060074,7
353283535,353283535,0
353283535,347003226,7
6054631,130714953,0
6054013,50519360,8
6057996,29961677,3
6057996,6057996,0
50519360,29961677,2
50519360,50519360,0
6054046,334626741,0
6054046,334626740,3
6059711,6059711,0
6059711,131240428,3
334626741,334626741,0
334626741,117422853,3
334626740,131240428,3
334626740,334626740,0
334626741,334626741,0
334626741,6054237,3
117422853,131240428,3
117422853,117422853,0
334626741,6057027,3
334626741,334626741,0
6054237,131240428,3
6054237,6054237,0
6057027,131240428,3
6057027,6057027,0
334626741,203022888,3
334626741,334626741,0
203022888,203022888,0
203022888,367147297,3
334626741,334626741,0
334626741,178704668,3
6061459,6062518,1
6061459,50503658,2
131240411,6052335,1
131240411,130889740,1
131052528,131240428,3
131052528,131052528,0
6054078,6062978,7
6054078,130908303,0
6056032,296384738,7
6056032,296756720,0
6062978,6055608,3
130908303,50519379,3
130908303,130908303,0
130908303,297273914,3
297273916,297285722,0
297273916,297294797,8
257319363,296365924,0
257319363,131052383,0
50513900,131052383,7
50513900,50513900,0
50513902,50511273,7
119971773,206306596,3
119971773,119971773,0
119971772,119971772,0
119971772,296360429,7
119971772,119971772,0
119971772,296360885,3
296355738,296355738,0
296355738,371045428,3
119971772,119971772,0
119971772,296355738,3
6063421,6063421,0
6054083,50511360,0
50511363,50511363,0
50511363,6057096,7
50511363,6061869,7
6057096,6057096,0
6057096,274368994,3
6061869,6061869,0
6054059,50511362,1
297401856,50511362,7
296352769,6052466,3
6054110,130808339,7
6054111,6054111,0
6054111,126303353,0
126303353,6062408,3
126303353,126303353,0
6062408,131233774,0
126303353,131448570,7
126303353,297273915,2
126303353,130772962,3
131448570,297268564,3
297273915,297273915,0
130772962,6054255,7
297273915,50513886,2
297273915,297285721,0
297285722,297294784,2
297285722,50513888,1
297294797,297294797,0
297294797,297295058,6
297285723,146537585,3
297285723,297285723,0
45838766,45838766,0
297294789,297295058,3
297294789,297294789,0
203025089,203025089,0
203025089,293445997,3
203025090,146537578,3
203025090,345709543,0
6058193,6051762,1
45838765,203025089,1
45838765,203025090,7
146537587,297380208,1
45838764,295763966,3
45838764,45838764,0
297368435,297759292,0
297368435,297444228,0
6055551,6055551,0
120478418,6055551,7
6062397,6063274,2
6062397,50431293,0
120478418,120478418,0
120478418,6063274,7
120478418,120478418,0
6057421,6054254,4
6057421,130907982,7
120478418,6053702,7
120478418,120478418,0
50427058,120478418,0
6058793,345633934,7
126303354,126303354,0
126303354,6060903,7
6054237,6054237,0
6054237,358957485,2
50795345,203022888,0
50795345,203022903,7
367147288,50503658,0
367147288,47969697,2
50503658,50503658,0
47969697,203022903,7
47969697,47969697,0
50503658,6062518,8
50503658,50503658,0
131052528,131240411,7
131052528,131052528,0
130889741,6052335,1
130889741,130889740,0
382529648,382529648,0
382529648,131240428,3
131240428,131240428,0
131240428,117422853,7
6054237,56226936,3
6054237,6054237,0
367694955,367694955,0
367694955,6062650,7
6061966,6061966,0
6061966,6059017,3
50501877,6052529,1
117313634,117313634,0
117313634,367694953,7
117313634,117313634,0
117313634,130908030,7
367694953,367694953,0
367694953,50795345,3
117313634,117313634,0
117313634,50507961,2
130908030,6058979,1
130908030,50795345,3
131052494,131052494,0
6061052,6061052,0
6061052,50795345,4
130908179,6058296,7
130908179,130908179,0
6054250,6054250,0
6054250,297401524,7
6055551,6055551,0
6054252,6054252,0
6054252,338426581,7
130889684,6058077,7
130889684,50431292,2
130889755,6055383,3
130889755,130889755,0
6058077,120478418,7
50431292,50431292,0
50431292,296971737,7
130772943,6058077,3
130772943,50431292,0
6054254,50431292,7
6054254,296971737,0
6054254,130772943,3
6054254,6054254,0
6054257,297237153,0
6054322,130927099,7
6054322,6054322,0
6056988,6055504,3
6056988,6056988,0
130927099,130927099,0
6054323,202975562,7
202975562,6053454,2
202975562,202975562,0
6054329,6054329,0
6054329,50752706,3
130927091,130927091,0
6061085,6060076,3
6061085,6061085,0
6054373,131052470,0
6054373,48138837,1
297254936,297254936,0
297254936,6061924,3
131052470,131052472,0
131052470,131052522,7
48138837,131052333,0
48138837,347004690,7
131052472,126303368,7
131052522,131052333,3
131052522,347004690,0
126303368,131052335,3
126303368,203023774,0
367694954,6055384,1
50795350,132577565,3
132577565,50515742,0
132577565,50795349,7
132577565,50279569,1
130788132,130788132,0
6055389,45838763,3
298825115,298825115,0
298825115,70948802,3
117315789,117315789,0
117315789,6056972,3
131240403,117315789,3
50795344,130676655,7
50795344,50795344,0
131240403,131240403,0
131240403,29961219,7
6058679,6058679,0
131240403,131240403,0
131240403,6058679,3
29961210,135146241,7
29961210,29961210,0
131240446,131240446,0
131240403,131240403,0
131240403,29961210,3
131240403,131240446,7
131240403,131240403,0
6061169,6061169,0
131240403,131240403,0
131240403,6061169,3
131240403,131240403,0
131240439,131240439,0
131240439,131520066,7
131240403,131240403,0
130927079,130927079,0
131240403,131240439,7
131240403,131240403,0
130927085,130927085,0
130927085,6055973,3
131240403,130927079,7
131240403,131240403,0
131240403,130927085,3
131240403,131240403,0
6057996,6057996,0
234706403,6053422,3
234706403,234706403,0
131240403,131240403,0
131240403,265827169,3
6054456,6054456,0
6054456,50752706,3
6060851,6060851,0
130927059,331912753,1
50515742,50515742,0
50515742,50279566,6
50795349,50515741,7
50279569,50279566,0
50279569,6057310,0
131520219,6061085,3
131520219,131520219,0
6054471,308745784,3
367694955,367694955,0
367694955,29964830,3
6062650,6059017,3
6062650,6062650,0
6061639,6061639,0
50795345,367694953,7
50795345,50795345,0
130285143,131076086,2
130285143,130285143,0
367694953,131076086,3
50795345,6058979,7
50795345,50795345,0
6058979,131076086,4
6058979,130908178,0
6058979,6061863,3
50795345,50795345,0
50795345,131052330,7
50795345,50795345,0
50795345,50507959,7
131052330,131076086,3
131052330,131052330,0
6061052,131076086,4
6061052,6256526,1
50795345,50795345,0
50795345,6056757,7
50795345,50795345,0
50795345,367150539,7
6056757,6056757,0
6056757,131076086,3
203022888,203022888,0
203022888,367147295,3
203022903,203022903,0
203022903,178704668,3
203022888,203022888,0
203022888,367147290,7
131240428,131240428,0
131240428,6057027,7
50519367,297212177,0
297268567,50513895,7
50513895,130285125,0
50513895,50473188,2
6055095,6055095,0
50513897,296756722,7
50513897,296756718,0
6054573,6054573,0
6054573,6055517,8
6054573,6051910,0
6055517,297237154,4
296365924,296365924,0
296365924,296367654,1
131052383,131052383,0
6054631,6054631,0
6057457,6057457,0
6054631,6054631,0
130714953,50521641,7
50521641,231628322,2
50521641,50521641,0
6054785,6054785,0
6054785,374649524,7
130927085,130927085,0
6057996,6057996,0
6057996,374649523,7
297368625,130802359,3
297368625,130802376,0
6054886,6054886,0
6054886,6061387,3
131076063,131076063,0
131076063,70948801,3
333922526,297382770,3
131076063,131076063,0
131076063,130889749,3
70948801,50260020,3
70948801,70948801,0
131076063,131076063,0
131076063,347003327,3
130889749,50260020,3
130889749,130927087,0
130889749,50260019,7
130802371,175873836,0
130802371,74100353,3
130285153,26707840,7
130285153,126303366,0
6054895,6054895,0
6054895,130889757,3
6054895,130889761,7
6054895,6054895,0
130889757,130889757,0
130889761,130889761,0
130889761,50797098,7
6054895,6054895,0
6054895,130908289,3
6054895,6054895,0
6054895,345633935,7
130908289,130908289,0
130908289,6056057,3
50524889,6056057,3
50524889,50524889,0
6054895,6054895,0
130285156,130285156,0
130285156,6056057,3
6061205,6061205,0
296365351,120478695,3
297380211,297380211,0
120478695,274292566,7
120478695,120478695,0
297214545,306464121,0
306464119,297200808,11
50795349,50515742,1
50795349,50795349,0
50795349,50279569,3
367694954,367694954,0
367694954,50795350,3
367694954,50795349,3
367694954,367694954,0
367694950,367694949,0
131240381,367694954,0
131240381,367694950,3
6057310,50795344,6
6057310,6057310,0
29961684,29961219,3
29961684,29961684,0
50795344,6056078,3
50795344,50795344,0
29961684,29961210,7
29961684,29961684,0
6058679,6056078,3
6058679,6058679,0
29961210,29961210,0
29961684,29961684,0
234706402,234706402,0
234706402,6057902,7
6061169,6061169,0
6061169,234706405,2
234706402,131240439,3
234706402,234706402,0
6057902,6057902,0
6057902,234706405,2
131240439,130927006,3
131240439,131240439,0
234706402,234706402,0
234706402,130927079,3
234706402,234706402,0
234706402,130927085,7
130927079,130927006,3
130927079,6055449,0
234706402,29961677,0
234706402,6057996,7
130927085,6054785,3
130927085,130927085,0
29961677,29961677,0
29961677,50519360,8
6057996,6057996,0
29961677,29964834,3
50519360,29964834,4
6055034,6055034,0
317710043,317710043,1
317710043,331911998,7
297254928,297254936,7
297254928,297254928,0
130927099,130927099,0
130927099,6054322,3
130908081,130908081,0
130908081,6062972,7
130927099,130927031,3
130927099,130927099,0
6055099,297268567,0
6055099,297268565,0
297268567,50519367,3
297268567,297268567,0
297268565,297268569,1
126303362,130802371,0
298829677,70948802,0
298829677,70948803,7
130802371,130802371,0
130802371,130802371,0
130802372,130802372,0
345709542,347003327,7
345709542,298848145,0
130802372,345633934,7
130802372,131448559,0
6061945,6061945,0
6061945,108060074,7
49999718,49999718,0
298832261,130908282,7
298832261,298832254,0
126303356,50429909,3
126303356,352412083,0
345633934,345633934,0
345633934,6060903,3
130908282,345633934,3
298832254,50429914,7
298832254,50429916,3
298832254,298832254,0
203119345,203119345,0
203119345,108060074,3
353283535,353283535,0
353283535,298832235,8
6059711,56226936,3
6059711,6059711,0
131240428,379685264,3
131240428,6059711,7
131240428,131240428,0
6058376,56226936,3
6058376,6058376,0
131240428,131240428,0
131240428,6058376,7
334626740,131463021,0
334626740,56226936,3
131240428,131240428,0
131240428,334626740,7
117422853,56226936,3
117422853,117422853,0
131240428,131240428,0
131240428,6054237,7
6057027,6057027,0
6057027,56226936,3
131240442,6061459,0
131240442,334626741,3
131240428,131240428,0
131240428,47969697,7
131240428,131240442,3
131240428,131240428,0
131052528,131052528,0
382529648,382529648,0
131240428,131240428,0
131240428,131052528,7
131240449,6055156,7
131240449,131240448,0
6055158,50496706,3
6062745,382529648,5
50496706,130764285,3
131270354,131270354,0
131270354,130764285,3
6062974,50464889,6
6062974,6063316,1
6055174,50473176,3
50473176,130908172,0
50473176,6058982,3
130802362,130802362,0
296756719,296756719,0
296756719,87036501,7
45837735,45837735,0
45837735,50752706,7
130772943,130908292,2
130772943,130772943,0
6055551,6055551,0
6055383,6055551,7
130889755,130285119,3
130889755,130889756,0
131052297,297368625,3
131052297,131052297,0
297294792,333922766,3
297294792,120478695,0
26572919,26572919,0
26572919,333922766,3
131052297,120478696,7
120478696,45838768,0
229105896,6057312,0
229105896,229105895,0
131240446,301594129,0
131240446,234706405,6
234706403,29961684,7
131240446,131240446,0
131240446,6053560,3
6056078,6056078,0
6056078,6061169,7
131240446,131240446,0
131240446,6056078,7
131240446,131240446,0
131520066,6061169,7
131520066,131520066,0
131240446,131240446,0
131240446,131520066,7
135146241,135146241,0
135146241,29961210,3
50519366,135146241,3
131240406,131240406,0
131240406,6061169,7
50519366,50519366,0
50519366,131240406,7
97695773,97695773,0
97695773,135149436,7
50519366,50519366,0
50519366,97695773,7
131520118,131520118,0
50519366,50519366,0
50519366,131520118,7
50519366,50519366,0
6063401,131052519,3
50519366,50519366,0
50519366,6063401,3
112601555,130788136,0
367694955,367694955,0
367694955,6061169,7
367694955,6716410,3
6055407,6055403,0
6055407,6059017,3
6057407,6057407,0
6057407,6061639,7
6055403,50519365,3
6059017,6061169,7
6059017,6059017,0
229105896,229105896,0
229105896,131240439,6
50515738,6254095,1
6672162,229105896,4
6672162,50515738,0
6057632,6061232,7
6055449,50519365,7
6055449,6672162,0
6058218,6061232,7
130927079,234706402,7
130927079,130927079,0
131240390,131240390,0
131240390,130927085,7
130927079,130927079,0
130927079,234706405,6
234706403,234706403,0
234706403,131240439,8
130927079,130927079,0
130927079,234706403,2
130927079,130927079,0
130927079,131240403,3
135146241,131240439,7
135146241,135146241,0
130927079,130927079,0
131240406,131240406,0
131240406,130927085,7
130927079,130927079,0
130927079,131240406,7
130927021,130788153,0
130927080,130788132,4
130788132,6052473,3
130788132,130788132,0
131052479,367694950,0
6055504,130927099,7
6056988,296860850,0
6055517,6054573,2
6055517,6055517,0
50510610,6054573,3
130908164,130908164,0
130908164,6055384,7
297237154,297237151,3
297237154,297237152,0
6055518,130772891,3
6062206,6062206,0
6062206,6060056,3
6055521,6055521,0
6055521,234706405,2
234706407,29964834,3
345633934,345633934,0
345633934,126303366,3
130908283,345633934,3
352412093,352412093,0
352412093,6058797,3
49999717,50429917,8
49999717,49999717,0
353283535,353283535,0
215307084,215307084,0
215307084,108060074,3
6055551,26707982,7
6055551,130285153,0
26707982,130285133,0
130285153,6062881,5
130285153,130285153,0
130285153,298458830,3
130285153,130285153,0
126303354,6058793,6
126303354,126303354,0
126303366,345633934,7
126303366,126303366,0
345633934,345633934,0
345633934,130889757,3
126303366,126303365,0
352412093,353283601,0
352412093,126303364,7
6058797,6058797,0
6056085,6054462,3
6052466,6052466,0
